Days,Open,High,Low,Close,Volume
5521.0,3.80900,3.89575,3.79525,3.82200,605372000
5522.0,3.82100,3.89175,3.77750,3.86325,827264000
5523.0,4.07375,4.09675,3.91050,3.93350,1516748000
5527.0,3.92275,3.99725,3.90350,3.91600,551892000
5528.0,3.94550,4.03150,3.93425,3.96375,540988000
5529.0,3.97650,4.00125,3.87950,3.89425,448548000
5530.0,3.9465,3.99875,3.93275,3.97975,401740000
5533.0,4.0640,4.13200,3.95850,3.96725,656020000
5534.0,3.9625,4.01900,3.89375,3.92750,488464000
5535.0,3.9130,3.93975,3.82775,3.88525,500256000
5536.0,3.8750,3.89750,3.83400,3.85650,324944000
5537.0,3.90675,3.95375,3.8480,3.91125,357188000
5540.0,3.95000,3.97300,3.8625,3.91950,409992000
5541.0,3.90375,3.95150,3.8490,3.91300,362924000
5542.0,3.90400,3.91250,3.7985,3.80125,403524000
5543.0,3.77750,3.78725,3.6850,3.73150,450104000
5544.0,3.64150,3.77675,3.62000,3.7660,422416000
5547.0,3.78975,4.05150,3.74225,4.0285,859728000
5548.0,4.05650,4.10975,3.97975,4.0630,579576000
5549.0,4.10075,4.24500,4.09325,4.2155,768900000
5550.0,4.22475,4.23675,4.13125,4.1390,519384000
5551.0,4.18250,4.28825,4.17900,4.24525,661484000
5554.0,4.27700,4.33125,4.19650,4.22375,486992000
5555.0,4.31900,4.43750,4.30200,4.39275,854972000
5556.0,4.42200,4.47575,4.32500,4.36000,719148000
5557.0,4.38325,4.62500,4.37825,4.59850,824312000
5558.0,4.57100,4.62000,4.42350,4.43750,747644000
5561.0,4.39650,4.46125,4.27775,4.34450,525212000
5562.0,4.48725,4.54375,4.36500,4.42175,703508000
5563.0,4.44750,4.49425,4.34250,4.41250,474372000
5564.0,4.43875,4.49750,4.37775,4.43125,480264000
5565.0,4.49850,4.51350,4.44775,4.4890,456896000
5568.0,4.58150,4.58750,4.50925,4.5570,483824000
5569.0,4.58125,4.61975,4.53800,4.5750,440920000
5570.0,4.62500,4.77500,4.62000,4.7155,783504000
5571.0,4.70000,4.74925,4.64325,4.7065,457376000
5572.0,4.75000,4.79125,4.71325,4.77375,481744000
5575.0,4.74300,4.82000,4.71875,4.79475,424192000
5576.0,4.76100,4.77225,4.68900,4.73150,439972000
5577.0,4.73075,4.82850,4.72625,4.80250,444772000
5578.0,4.80500,4.83675,4.73875,4.78850,374600000
5579.0,4.8275,4.83150,4.74150,4.75025,471708000
5582.0,4.7425,4.74750,4.57750,4.61750,440092000
5583.0,4.6570,4.72425,4.62400,4.70525,394964000
5584.0,4.7405,4.76150,4.65975,4.68225,351004000
5585.0,4.6890,4.72325,4.62950,4.65750,380988000
5589.0,4.63375,4.72750,4.60200,4.71175,279936000
5590.0,4.72500,4.79825,4.71525,4.76675,346856000
5591.0,4.77725,4.82025,4.71600,4.77925,318204000
5592.0,4.73875,4.76125,4.59250,4.67275,499296000
5593.0,4.51775,4.52225,4.33250,4.45225,868988000
5596.0,4.46025,4.51125,4.38750,4.48325,391920000
5597.0,4.45075,4.55075,4.43150,4.52500,362920000
5598.0,4.57775,4.62025,4.51150,4.51175,354280000
5599.0,4.52150,4.62175,4.47800,4.57975,394684000
5600.0,4.58825,4.59825,4.51325,4.57525,336824000
5603.0,4.38750,4.50850,4.35000,4.49625,422176000
5604.0,4.44750,4.44750,4.27925,4.32775,555220000
5605.0,4.30000,4.42875,4.28800,4.34800,419168000
5606.0,4.27850,4.28825,4.13500,4.25475,660248000
5607.0,4.22375,4.28975,4.10000,4.22050,569500000
5610.0,4.08750,4.11075,3.94525,3.96125,656912000
5611.0,4.00125,4.08650,3.96225,4.05100,524880000
5612.0,3.99500,4.02625,3.93525,3.98950,502320000
5613.0,3.98400,4.04775,3.94125,4.00475,781088000
5614.0,3.96250,4.09275,3.87350,3.91325,1022068000
5617.0,3.81375,3.86925,3.76875,3.79375,572064000
5618.0,3.85500,3.89250,3.81600,3.87650,361848000
5619.0,3.83750,3.86375,3.79400,3.80500,325868000
5620.0,3.74225,3.74225,3.62275,3.68300,591844000
5621.0,3.70200,3.73750,3.62200,3.62875,357584000
5625.0,3.64650,3.67950,3.58125,3.58325,428356000
5626.0,3.53525,3.57050,3.47350,3.50850,559800000
5627.0,3.50775,3.54375,3.43925,3.47775,394300000
5628.0,3.42850,3.49625,3.38475,3.38650,389720000
5631.0,3.39775,3.43675,3.31500,3.34450,478644000
5632.0,3.40900,3.58025,3.38675,3.57500,641836000
5633.0,3.64925,3.65475,3.49550,3.53200,511616000
5634.0,3.53625,3.61925,3.53375,3.59450,408140000
5635.0,3.60050,3.67200,3.58125,3.63750,348856000
